,job_location,job_title,job_company,job_price,job_price_min,job_price_max
0,广州,高级美妆行业分析师[海珠区],美业颜究院,15k-30k,15,30
1,广州,数据分析师[珠江新城],埋堆堆,18k-25k,18,25
2,广州,数据分析师[天河区],广东博众智能科技投资有限公司,8k-13k,8,13
3,广州,数据分析员[琶洲],瀛润控股,5k-8k,5,8
4,广州,投资研究分析师[车陂],三七互娱,25k-40k,25,40
5,广州,战略研究分析师-前沿方向[车陂],三七互娱,25k-30k,25,30
6,广州,高级商业分析师[海珠区],美业颜究院,15k-30k,15,30
7,广州,数据分析专员[大东],羊城通,8k-10k,8,10
8,广州,数据分析挖掘工程师[珠江新城],广东亿迅,15k-25k,15,25
9,广州,金融数据分析师[番禺区],经传多赢,8k-13k,8,13
10,广州,数据分析师[天河区],智品网络,15k-30k,15,30
11,广州,需求分析师[官洲],联通（广东）产业互联网...,8k-15k,8,15
12,广州,数据分析师[新港],有车以后,15k-25k,15,25
13,广州,需求分析师[天河区],广东亿迅,8k-15k,8,15
14,广州,需求分析师(双休/五险一金)[黄埔区],润建股份,10k-15k,10,15
15,广州,ba需求分析师[越秀区],赛博威,12k-18k,12,18
16,广州,ba需求分析师[天河区],信必优Symbio(深圳),15k-30k,15,30
17,广州,高级数据分析师 (MJ000103)[林和],广州小迈,25k-35k,25,35
18,广州,高级需求分析师-电力交易方向[萝岗区],广州海颐软件有限公司,10k-18k,10,18
19,广州,金融分析师[东圃],天秤科技,8k-15k,8,15
20,广州,高级数据分析师（商业分析方向）[海珠区],唯品会,15k-30k,15,30
21,广州,BA（需求分析）[五山],CLPS,12k-23k,12,23
22,广州,数据分析师[新港],北京蜜莱坞网络科技有限公司,12k-18k,12,18
23,广州,数据分析师（商业方向）[天河区],一面数据,10k-20k,10,20
24,广州,数据分析专家（电销业务）[珠江新城],广发银行信用卡中心,15k-30k,15,30
25,广州,数据分析师[天河区],智品网络,15k-30k,15,30
26,广州,财务预算及分析 (MJ003600)[番禺区],YY,20k-40k,20,40
27,广州,需求分析师[新港],骑驴,9k-15k,9,15
28,广州,数据分析（网络营销）[珠江新城],广发银行信用卡中心,15k-25k,15,25
29,广州,数据分析师[珠江新城],浩瀚深度,15k-25k,15,25
30,广州,数据分析师[越秀区],优路,8k-15k,8,15
31,广州,经营分析[天河区],中移互联网,15k-20k,15,20
32,广州,数据建模分析师[天河区],中移互联网,12k-18k,12,18
33,广州,数据分析师[天河区],益世界,30k-40k,30,40
34,广州,数据分析师[龙凤],Edison Inc,6k-8k,6,8
35,广州,数据分析师[天河区],广州亿博,11k-17k,11,17
36,广州,数据分析工程师[海珠区],数立方,12k-24k,12,24
37,广州,数据分析师（业务/商业方向）[天河区],千音科技,8k-12k,8,12
38,广州,业务需求分析师[珠江新城],CLPS,15k-22k,15,22
39,广州,舆情分析专员[天河区],广南科技,15k-20k,15,20
40,广州,数据分析运营经理[海珠区],锦江信息技术（广州）有限公司,11k-20k,11,20
41,广州,数据分析师[江南大道],广州艾力彼管理顾问有限公司,7k-10k,7,10
42,广州,UW8794-TME腾讯音乐研发部数据挖掘和分析工程师[天河区],腾讯音乐,25k-50k,25,50
43,广州,银行数据分析顾问[天河区],海捷科技,15k-20k,15,20
44,广州,需求分析师[体育中心],衣神科技,10k-15k,10,15
45,广州,高级数据分析师[桥中],一手,15k-30k,15,30
46,广州,需求分析师[官洲],联通（广东）产业互联网...,10k-16k,10,16
47,广州,数据运营分析师[海珠区],如祺出行,13k-20k,13,20
48,广州,需求分析师[天河区],极点三维,10k-15k,10,15
49,广州,业务需求分析师[珠江新城],拓保软件,12k-21k,12,21
50,广州,需求分析师[五山],数鹏通科技,8k-15k,8,15
51,广州,数据分析师（实习）[天河区],一面数据,3k-6k,3,6
52,广州,大数据分析师[天河区],名通科技,7k-10k,7,10
53,广州,需求分析师[天河区],极点三维,8k-10k,8,10
54,广州,高级需求分析师[黄埔区],齐明软件,10k-15k,10,15
55,广州,需求分析工程师（广州）[元岗],名通科技,6k-10k,6,10
56,广州,高级数据分析师 (MJ000323)[天河区],搜款网 VVIC,15k-25k,15,25
57,广州,需求分析师[南浦],浩鲸科技,17k-22k,17,22
58,广州,数据分析师[天河区],360,20k-30k,20,30
59,广州,数据分析师（数据治理）[黄埔区],齐明软件,10k-15k,10,15
60,广州,数据分析师[海珠区],时谛智能,10k-15k,10,15
61,广州,商业数据分析师[越秀区],屈臣氏中国,7k-12k,7,12
62,广州,高级游戏数据分析师[天河区],德科信息,15k-30k,15,30
63,广州,需求分析工程师[天河区],广电计量,13k-20k,13,20
64,广州,ba需求分析师[海珠区],中电金信,15k-23k,15,23
65,广州,海外数据分析师[五山],祖龙娱乐,15k-30k,15,30
66,广州,中级数据分析师[萝岗区],宜健邦科技,12k-15k,12,15
67,广州,用户研究分析师（校招）[黄埔区],多益网络,12k-17k,12,17
68,广州,需求分析工程师[海珠区],朗新科技,10k-15k,10,15
69,广州,高级数据分析师[越秀区],龙腾出行,20k-30k,20,30
70,广州,需求分析师[东风东],慧博云通,18k-19k,18,19
71,广州,外包岗位-数据分析师（2022届毕业生） (MJ004147)[番禺区],YY,10k-15k,10,15
72,广州,产品助理/需求分析师[番禺区],广州雅滋乐,8k-14k,8,14
73,广州,数据分析师[琶洲],广州致景信息科技有限公司,25k-40k,25,40
74,广州,数据分析师/高级数据分析师(J13098)[海珠区],明略科技集团,10k-20k,10,20
75,广州,业务需求分析师[珠江新城],CLPS,15k-22k,15,22
76,广州,数据分析师[新港],广东亿迅,15k-30k,15,30
77,广州,微生物分析助理[天河区],弘正道（中国）,2k-4k,2,4
78,广州,需求分析工程师[海珠区],朗新科技,10k-15k,10,15
79,广州,分析仪器维保工程师[石楼],广检技术,7k-14k,7,14
80,广州,需求分析师（2022届）[五山],数鹏通科技,6k-10k,6,10
81,广州,数据分析师[番禺区],大圣科技,10k-20k,10,20
82,广州,数据分析师[天河区],优路加,7k-14k,7,14
83,广州,需求分析工程师[天河区],优路加,7k-12k,7,12
84,广州,大数据分析专家[南沙区],合创汽车,30k-60k,30,60
85,广州,需求分析[珠江新城],广东亿迅,8k-10k,8,10
86,广州,量化分析师[珠江新城],德塔幂方,8k-13k,8,13
87,广州,数据分析师/高级数据分析师(J13098)[海珠区],明略科技集团,10k-20k,10,20
88,广州,数据分析 (MJ000045)[天河区],Flat Incubator,15k-30k,15,30
89,广州,数据分析师（偏用户数据研究方向）[番禺区],美的IoT,18k-25k,18,25
90,广州,软件需求分析师[棠下],华资软件,11k-18k,11,18
91,广州,初级数据分析员[珠江新城],消费者报道杂志社,3k-5k,3,5
92,广州,风控策略分析师[天河区],天星数字,10k-20k,10,20
93,广州,高级数据分析架构师[大学城],巨杉数据库,25k-45k,25,45
94,广州,高级数据分析师[大学城],巨杉数据库,20k-40k,20,40
95,广州,数据分析工程师[天河区],兰贝斯科技,3k-4k,3,4
96,广州,数据产品经理（营销分析方向）[越秀区],屈臣氏中国,15k-25k,15,25
97,广州,业务分析师-财务及经营分析[番禺区],大圣科技,10k-20k,10,20
98,广州,业务分析主管(BI)[黄埔区],汤臣倍健,20k-25k,20,25
99,广州,MOM业务分析师[棠景],欧派,8k-10k,8,10
100,广州,市场分析专家[猎德],广东博众智能科技投资有限公司,15k-30k,15,30
101,广州,数据分析师[黄埔区],宜教通教育,7k-11k,7,11
102,广州,需求分析师[跑马场],周生生ChowSangSang,12k-18k,12,18
103,广州,数据分析师[海珠区],花生日记,8k-14k,8,14
104,广州,需求分析工程师（白云）[白云区],润建股份,10k-15k,10,15
105,广州,高级需求分析师[黄埔区],中能智研,18k-30k,18,30
106,广州,需求分析工程师/产品经理[江高],欧派,10k-15k,10,15
107,广州,FG3913-ZNXT-数据分析师[东圃],酷狗音乐,15k-25k,15,25
108,广州,需求分析工程师[天河区],坤盛科技,8k-13k,8,13
109,广州,需求分析师[五山],欣农互联,10k-15k,10,15
110,广州,数据分析师[黄埔区],佰聆数据,10k-18k,10,18
111,广州,数据分析师（智慧城市） (MJ000797)[新港],运通信息,15k-25k,15,25
112,广州,数据分析[花地湾],广州魔极科技有限公司,9k-15k,9,15
113,广州,需求分析工程师（实习生）[大东],希尔智慧,4k-6k,4,6
114,广州,数据分析助理+13薪[东圃],长沙信必优信息科技有限公司,8k-11k,8,11
115,广州,数据分析师[东圃],长沙信必优信息科技有限公司,10k-15k,10,15
116,广州,数据运营分析师[新港],药师帮,10k-18k,10,18
117,广州,数据分析（2022届春招）[新港],北京蜜莱坞网络科技有限公司,10k-18k,10,18
118,广州,数据治理分析师[珠江新城],广东联通,15k-30k,15,30
119,广州,数据分析实习生[赤岗],要务科技,3k-4k,3,4
120,广州,商业分析师 (MJ004897)[番禺区],欢聚集团（JOYY Inc.）,15k-30k,15,30
121,广州,高级需求分析经理（医疗软件）(J10155)[越秀区],望海康信股份,15k-25k,15,25
122,广州,证券分析师助理[番禺区],广州经传,6k-8k,6,8
123,广州,Bigo live-数据分析师 (MJ003731)[番禺区],BIGO,15k-22k,15,22
124,广州,数据分析师[黄埔区],中能智研,15k-25k,15,25
125,广州,数据分析leader(业务侧) (MJ000993)[天河区],趣丸,25k-50k,25,50
126,广州,需求分析工程师[白云大道],京北方,10k-13k,10,13
127,广州,需求分析师（0ss）[大石],浩鲸科技,12k-20k,12,20
128,广州,资深数据分析师(业务分析) (MJ000992)[珠江新城],趣丸,20k-40k,20,40
129,广州,数据分析师[黄埔区],佰聆数据,14k-20k,14,20
130,广州,高级业务分析经理 (MJ003705)[番禺区],BIGO,20k-40k,20,40
131,广州,高级数据分析课程讲师[珠江新城],问卷网@众言科技,15k-23k,15,23
132,广州,数据分析师（广州） (MJ000115)[珠江新城],数数科技,20k-35k,20,35
133,广州,数据分析师（业务分析/连锁零售方向） (MJ005785)[海珠区],钱大妈,18k-25k,18,25
134,广州,数据分析师（自助分析方向） (MJ005784)[海珠区],钱大妈,15k-20k,15,20
135,广州,ba需求分析师[东风东],友邦科技,15k-25k,15,25
136,广州,数据分析师[番禺区],SHEIN,9k-15k,9,15
137,广州,数据分析师[新港],如祺出行,10k-20k,10,20
138,广州,高级数据BP(数据分析）(7NLL)[棠下],荔枝集团,20k-40k,20,40
139,广州,cda数据分析师|客服营运数据方向[天河区],联合电服,9k-15k,9,15
140,广州,数据分析师(J10706)[珠江新城],广州中康数字科技有限公司,15k-25k,15,25
141,广州,用户增长分析专家[珠江新城],FunPlus 趣加游戏,30k-50k,30,50
142,广州,战略分析师[增城],电子五所,10k-20k,10,20
143,广州,需求分析师[黄埔区],赛博威,10k-18k,10,18
144,广州,ba需求分析师（外企）[东风东],信必优Symbio(深圳),18k-23k,18,23
145,广州,高级游戏数据分析师[天河区],网易,15k-30k,15,30
146,广州,数据分析师[五羊新城],南方报业,10k-20k,10,20
147,广州,数据分析师 (MJ000655)[黄埔区],云徙科技,12k-20k,12,20
148,广州,数据分析工程师[珠江新城],广州光束,15k-30k,15,30
149,广州,bi数据分析师（上市集团双休）[龙溪],大参林集团,18k-35k,18,35
150,广州,数据分析师（自助分析方向） (MJ005784)[海珠区],钱大妈,15k-20k,15,20
151,广州,高级数据分析师（商业方向）(JU3RV)[天河区],一面数据,15k-30k,15,30
152,广州,ba需求分析师[东风东],友邦科技,15k-25k,15,25
153,广州,数据分析师[番禺区],SHEIN,9k-15k,9,15
154,广州,数据分析师[新港],如祺出行,10k-20k,10,20
155,广州,高级数据BP(数据分析）(7NLL)[棠下],荔枝集团,20k-40k,20,40
156,广州,数据分析师[新港],如祺出行,20k-30k,20,30
157,广州,cda数据分析师|客服营运数据方向[天河区],联合电服,9k-15k,9,15
158,广州,数据分析师(J10706)[珠江新城],广州中康数字科技有限公司,15k-25k,15,25
159,广州,数据分析师[天河区],北京蜜莱坞网络科技有限公司,15k-30k,15,30
160,广州,用户增长分析专家[珠江新城],FunPlus 趣加游戏,30k-50k,30,50
161,广州,战略分析师[增城],电子五所,10k-20k,10,20
162,广州,需求分析师[黄埔区],赛博威,10k-18k,10,18
163,广州,ba需求分析师（外企）[东风东],信必优Symbio(深圳),18k-23k,18,23
164,广州,高级游戏数据分析师[天河区],网易,15k-30k,15,30
165,广州,数据分析师-GZ[天河区],深演智能,12k-22k,12,22
166,广州,数据分析师[南沙区],积分猫,15k-30k,15,30
167,广州,数据分析员实习生[岭南],广州市西美信息科技有限公司,1k-2k,1,2
168,广州,需求分析师[官洲],卓明信息,9k-18k,9,18
169,广州,股票分析师[海珠区],知府网络,5k-10k,5,10
170,广州,大数据分析实习生[南沙区],广州软件院,2k-4k,2,4
171,广州,宏观分析师[东环],经传多赢,8k-15k,8,15
172,广州,游戏数据分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
173,广州,游戏产品分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
174,广州,数据分析师[登峰],广东智源,6k-12k,6,12
175,广州,情感分析师/情感销售[永平],广州我知你心文化传播有限公司,15k-30k,15,30
176,广州,需求分析师/业务分析师[天河区],深圳隽思信息科技有限公司,6k-12k,6,12
177,广州,数据分析研究专员(工作地点杭州)[珠江新城],之江实验室,18k-30k,18,30
178,广州,财务BP/财务分析[天河区],pwu-朴物大美,10k-15k,10,15
179,广州,数据分析师[越秀区],嘉盛达科技,6k-8k,6,8
180,广州,医疗大数据分析挖掘 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
181,广州,需求分析工程师[新港],天翼云科技有限公司,15k-30k,15,30
182,广州,证券分析师[越秀区],鹏盛信息,15k-25k,15,25
183,广州,金融分析实习[海珠区],金十数据,3k-4k,3,4
184,广州,需求分析师[天河北],玄武科技,11k-16k,11,16
185,广州,需求分析师（中国电信）[珠江新城],汇渠人力资源服务,15k-22k,15,22
186,广州,商业分析专家[新港],唯品会,50k-100k,50,100
187,广州,财经记者/证券分析师/股票分析师/金融分析师[江南大道],金证研,9k-18k,9,18
188,广州,电商需求分析-IT副经理-OMS系统[珠江新城],斯凯奇 Skechers,15k-25k,15,25
189,广州,电商需求分析-IT经理-OMS系统[珠江新城],斯凯奇 Skechers,15k-25k,15,25
190,广州,高级数据分析师 (MJ001105)[番禺区],细刻科技,25k-30k,25,30
191,广州,高级需求分析师[天河北],玄武科技,15k-22k,15,22
192,广州,智慧停车市场信息分析员[广卫],智信信息,15k-20k,15,20
193,广州,证券分析师[海珠区],知府网络,9k-13k,9,13
