,job_location,job_title,job_company,job_price,job_price_min,job_price_max
194,广州,（5630）软件需求分析师 Business Analyst[南沙区],香港科技大学（广州）,15k-30k,15,30
195,广州,商品数据分析师 (mj000889)[市桥],细刻科技,15k-20k,15,20
196,广州,数据分析实习生[天河北],QuestMobile,3k-4k,3,4
197,广州,数据分析师[海珠区],信安数据,15k-25k,15,25
198,广州,高级媒介专员（数据分析方向）[珠江新城],宝宝树,6k-12k,6,12
199,广州,风控策略分析师[新港],印象科技,15k-30k,15,30
200,广州,高级数据分析师[新港],大参林集团,18k-30k,18,30
201,广州,需求分析师[荔湾区],国药控股广州有限公司,9k-14k,9,14
202,广州,数据运营分析师[天河区],诗悦网络,8k-15k,8,15
203,广州,数据分析实习生[珠江新城],素士,2k-3k,2,3
204,广州,数据分析实习生[黄埔区],知了科技,2k-4k,2,4
205,广州,实习分析师[珠江新城],正略钧策,5k-6k,5,6
206,广州,数据分析实习生（python方向）[东晓],准星科技,2k-4k,2,4
207,广州,PowerBI数据分析师[天河区],友邦科技,10k-20k,10,20
208,广州,需求分析师[天河区],海闻科技,6k-7k,6,7
209,广州,数据分析师 （电力交易）[黄埔区],蚂蚁金谷能源,8k-15k,8,15
210,广州,数据分析实习生（python方向）[东晓],准星科技,2k-4k,2,4
211,广州,PowerBI数据分析师[天河区],友邦科技,10k-20k,10,20
212,广州,需求分析师[天河区],海闻科技,6k-7k,6,7
213,广州,数据分析师[登峰],广东智源,6k-12k,6,12
214,广州,数据分析管培生（市场）-OS3700[天河区],维达纸业（中国）有限公司,7k-8k,7,8
215,广州,游戏产品分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
216,广州,游戏市场及用户分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
217,广州,数据分析-2022届校招[天河区],诗悦网络,7k-11k,7,11
218,广州,高潜统计分析员[龙归],德邦快递,6k-9k,6,9
219,广州,大数据分析师[梅花村],广州零点,7k-9k,7,9
220,广州,医疗大数据分析挖掘 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
221,广州,病理图像智能分析 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
222,广州,情感分析师/情感销售[永平],广州我知你心文化传播有限公司,15k-30k,15,30
223,广州,政策分析师[东山口],南粤产业发展研究院,8k-12k,8,12
224,广州,数据分析师[越秀区],嘉盛达科技,6k-8k,6,8
225,广州,风险政策分析师-实习-2022届[珠江新城],二十六度数科,2k-3k,2,3
226,广州,案例分析师[水荫],弯弓新媒体,8k-15k,8,15
227,广州,游戏行业分析师（出海）[番禺区],有米科技,10k-20k,10,20
228,广州,大数据挖掘工程师【分析挖掘】[海珠区],微云数字,20k-30k,20,30
229,广州,数据分析课程顾问[天河区],环球青藤,8k-15k,8,15
230,广州,情感分析师[前进],壹依,10k-20k,10,20
231,广州,数据分析师[天河北],北京瑞天欣实数据科技有限公司,8k-15k,8,15
232,广州,需求分析师[黄埔区],捷普/Jabil,12k-18k,12,18
233,广州,业务分析师[番禺区],辛巴达,16k-20k,16,20
234,广州,网络安全工程师（逆向分析方向）[东山口],云智安信,13k-20k,13,20
235,广州,病毒分析工程师[员村],猎鹰企业安全,10k-20k,10,20
236,广州,情感分析师[天河区],弄潮儿,10k-20k,10,20
237,广州,银行需求分析师[天河区],环瑞人力资源,25k-35k,25,35
238,广州,高级数据分析师[东圃],鑫人联,15k-30k,15,30
239,广州,数据分析师[东圃],鑫人联,15k-30k,15,30
240,广州,数据分析师[天河区],广发证券,30k-60k,30,60
241,广州,支付数据分析师[海珠区],睿璞人才服务,40k-60k,40,60
242,广州,数据分析师[五山],汇丰软件,20k-40k,20,40
243,广州,钱包安全风险分析师[海珠区],睿璞人才服务,40k-60k,40,60
244,广州,成本分析[珠江新城],新仕佳人力资源,15k-19k,15,19
245,广州,财务分析经理（上市国企）[黄埔区],卓礼人力资源,20k-30k,20,30
246,广州,资深核算分析师（财务BP方向）[天河区],福尚博瑞,20k-28k,20,28
247,广州,数据分析师[广卫],基石人才,25k-50k,25,50
248,广州,中/高级需求分析师[黄埔区],亿聘世纪,12k-24k,12,24
249,广州,中/高级需求分析师[黄埔区],亿聘世纪,12k-24k,12,24
250,广州,需求分析师[大沙],泽贤人力资源服务,20k-30k,20,30
251,广州,中/高级需求分析师[黄埔区],新仕佳人力资源,12k-24k,12,24
252,广州,需求分析师[黄埔区],泽贤人力资源服务,18k-30k,18,30
253,广州,资深财务分析师（财务bp）[天河区],高奥士,40k-50k,40,50
254,广州,Physicochemical Analysis Manager/理化分析经理[新港],睿资达,30k-40k,30,40
255,广州,ba需求分析师[海珠区],科之锐人力资源服务,25k-26k,25,26
256,广州,高级数据分析师[棠景],赛睿,20k-30k,20,30
257,广州,数据分析总监[西关],今朝人力资源,55k-80k,55,80
258,广州,数据分析经理[白云区],今朝人力资源,20k-40k,20,40
259,广州,bi 数据分析总监[海珠区],启明卓聘咨询,60k-90k,60,90
260,广州,LC-MS Manager/质谱分析经理[新港],睿资达,30k-40k,30,40
261,广州,EBS高级应用分析师[大沙],职悦企业管理顾问,20k-25k,20,25
262,广州,大数据分析总监[东圃],康德雷格企业管理,80k-160k,80,160
263,广州,游戏数据分析师[五山],上海玄朔,12k-24k,12,24
264,广州,电商分析主管[珠江新城],赛睿,8k-15k,8,15
265,广州,数据分析（亚）[白云大道],埃摩森猎头机构,10k-15k,10,15
266,广州,高级业务需求分析师[黄阁],科锐国际,15k-20k,15,20
267,广州,中高级需求分析师（黄埔区）[大沙],汇渠人力资源服务,10k-18k,10,18
268,广州,需求分析师[棠景],人才科锐人力资源服务,10k-15k,10,15
269,广州,数据分析师[新港],众汇海成,15k-25k,15,25
270,广州,ba需求分析师[广卫],真源桥,20k-30k,20,30
271,广州,数据产品主任（数据分析）[江高],众汇海成,15k-25k,15,25
272,广州,需求分析[白云区],TCI泰伦国际,10k-15k,10,15
273,广州,高级数据分析师[黄埔区],云集人才咨询,18k-35k,18,35
274,广州,加急-游戏数据分析[五山],百伯企业管理咨询,12k-24k,12,24
275,广州,需求分析师[白云区],TCI泰伦国际,10k-15k,10,15
276,广州,高级数据分析师[五山],猎优网络,35k-55k,35,55
277,广州,需求分析师[棠景],科锐尔人力资源服务,15k-21k,15,21
278,广州,需求分析师[天河区],埃摩森猎头机构,10k-14k,10,14
279,广州,决策分析负责人[五山],对点咨询,125k-250k,125,250
280,广州,决策分析团队负责人[天河区],科锐国际人力资源,70k-140k,70,140
281,广州,数据分析师[珠江新城],广发银行信用卡中心,15k-30k,15,30
282,广州,数据分析师[天河区],中移互联网,12k-18k,12,18
283,广州,经营分析（2022）[天河区],中移互联网,14k-18k,14,18
284,广州,数据分析师[天河区],智品网络,18k-35k,18,35
285,广州,数据分析师[天河区],智品网络,17k-27k,17,27
286,广州,数据分析师[天河区],智品网络,20k-35k,20,35
287,广州,市场分析师经理/总监[海珠区],美业颜究院,25k-50k,25,50
288,广州,数据挖掘分析师[海珠区],美业颜究院,15k-25k,15,25
289,广州,管理培训生（数据分析）[天河区],广发银行信用卡中心,10k-15k,10,15
290,广州,管理培训生（数据分析）[天河区],广发银行信用卡中心,10k-20k,10,20
291,广州,初级需求分析师[黄埔区],齐明软件,3k-5k,3,5
292,广州,数据分析师[新港],广东亿迅,15k-30k,15,30
293,广州,需求分析[珠江新城],广东亿迅,8k-10k,8,10
294,广州,需求分析（亿迅校招，广州）[天河区],广东亿迅,7k-10k,7,10
295,广州,高级数据分析师[天河区],智品网络,15k-30k,15,30
296,广州,（高级）供应链主任-大数据分析支持[越秀区],屈臣氏中国,6k-10k,6,10
297,广州,商业分析师 (MJ004096)[番禺区],YY,20k-35k,20,35
298,广州,业务分析师-营销领域[番禺区],大圣科技,10k-20k,10,20
299,广州,需求分析工程师[珠江新城],广东亿迅,10k-18k,10,18
300,广州,[2022校招]Commercial Insight 投资分析岗[越秀区],屈臣氏中国,8k-10k,8,10
301,广州,[2022校招]网点规划分析岗[越秀区],屈臣氏中国,8k-10k,8,10
302,广州,高级数据分析师 (MJ000964)[珠江新城],趣丸,15k-30k,15,30
303,广州,高级数据分析师(营收) (MJ000985)[珠江新城],趣丸,15k-30k,15,30
304,广州,高级数据分析师（商业方向）(JU3RV)[天河区],一面数据,15k-30k,15,30
305,广州,Bigo live-数据分析师 (MJ003731)[番禺区],BIGO,15k-25k,15,25
306,广州,需求分析师［大数据方向］[林和],广东亿迅,10k-20k,10,20
307,广州,数据分析师[新港],如祺出行,20k-30k,20,30
308,广州,需求分析师[五山],广东亿迅,10k-16k,10,16
309,广州,数据分析师[天河区],北京蜜莱坞网络科技有限公司,15k-30k,15,30
310,广州,软件研发需求分析师[珠江新城],广东亿迅,12k-20k,12,20
311,广州,数据挖掘分析工程师 (MJ005286)[海珠区],钱大妈,20k-40k,20,40
312,广州,BA需求分析师[东风东],CLPS,15k-20k,15,20
313,广州,BA需求分析师（英语流利）[天河区],信必优Symbio(深圳),18k-35k,18,35
314,广州,高级数据分析师[天河区],网易,18k-35k,18,35
315,广州,高级数据分析师（营收方向）[天河区],网易,18k-35k,18,35
316,广州,商业策略分析专家 (MJ005531)[海珠区],钱大妈,15k-30k,15,30
317,广州,需求分析师[海珠区],润建股份,8k-15k,8,15
318,广州,分析师[天河区],广东博众智能科技投资有限公司,11k-20k,11,20
319,广州,市场分析专员[天河区],润建股份,4k-7k,4,7
320,广州,案件分析专员[新港],如祺出行,4k-5k,4,5
321,广州,资深数据分析师/数据分析经理[荔湾区],唯品会,15k-30k,15,30
322,广州,需求分析师-小程序(J12269)[珠江新城],斯凯奇 Skechers,10k-15k,10,15
323,广州,电商需求分析-IT高级主管-OMS系统[珠江新城],斯凯奇 Skechers,10k-15k,10,15
324,广州,高级数据分析师（商品分析）(026468)[海珠区],唯品会,16k-22k,16,22
325,广州,数据分析师-Likee[市桥],BIGO,20k-40k,20,40
326,广州,数据分析工程师[市桥],BIGO,20k-40k,20,40
327,广州,数据分析师[海珠区],唯品会,18k-30k,18,30
328,广州,大数据分析系统开发工程师（工作地点杭州）[大沙],之江实验室,14k-20k,14,20
329,广州,游戏市场及用户分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
330,广州,数据分析师（模型方向）[天河城],广州银行信用卡中心,11k-20k,11,20
331,广州,风险政策分析师[天河城],广州银行信用卡中心,11k-18k,11,18
332,广州,海量医疗数据高性能分析工具研发工程师(工作地点杭州)[珠江新城],之江实验室,14k-20k,14,20
333,广州,脑电信号数据分析研究专员（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
334,广州,高级数据分析师（AB实验方向）[市桥],BIGO,20k-40k,20,40
335,广州,数据分析（亿迅校招，广州）[珠江新城],广东亿迅,8k-10k,8,10
336,广州,数据分析师（商业洞察）-广州、深圳[新港],明略科技集团,6k-12k,6,12
337,广州,数据分析实习生[市桥],BIGO,4k-5k,4,5
338,广州,病理图像智能分析 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
339,广州,视频分析-生成方向工程师（工作地点杭州）[大沙],之江实验室,14k-20k,14,20
340,广州,生物物理建模和信号分析工程师（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
341,广州,高级数据分析经理[越秀区],屈臣氏中国,20k-35k,20,35
342,广州,量化策略分析师[黄埔区],好推网络,12k-22k,12,22
343,广州,视频分析-生成方向研究员（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
344,广州,金融数据分析[天河区],广州瀚信,7k-12k,7,12
345,广州,分析助理（双休+透明晋升）[天河北],广州瀚信,5k-7k,5,7
346,广州,风险政策分析师[天河城],广州银行信用卡中心,15k-25k,15,25
347,广州,分析师[猎德],广东博众智能科技投资有限公司,10k-20k,10,20
348,广州,量化策略分析师[黄埔区],好推网络,12k-20k,12,20
349,广州,需求分析师[黄埔区],泽贤人力资源服务,18k-30k,18,30
350,广州,中高级需求分析师[大沙],泽贤人力资源服务,20k-25k,20,25
351,广州,游戏用户及市场分析师-发行#227666[新港],新仕佳人力资源,35k-65k,35,65
352,广州,高级/资深薪酬福利专员（薪酬分析方向）[天河区],亿聘世纪,15k-20k,15,20
353,广州,数据分析经理[白云区],今朝人力资源,20k-40k,20,40
354,广州,高级数据分析师[新港],今朝人力资源,30k-50k,30,50
355,广州,数据分析师[新港],某知名互联网公司,60k-90k,60,90
356,广州,资深数据分析/负责人[新港],某大型互联网公司,50k-80k,50,80
357,广州,需求分析师[黄埔区],泽贤人力资源服务,12k-24k,12,24
358,广州,Physicochemical Analysis Manager/理化分析经理[新港],睿资达,20k-25k,20,25
359,广州,数据分析师 18w-30w 广州 本科 1-3年[新港],新仕佳人力资源,15k-25k,15,25
360,广州,中高级需求分析师（广州区域）[大沙],汇渠人力资源服务,12k-20k,12,20
361,广州,数据分析师 18w-30w 广州 本科 1-3年[新港],新仕佳人力资源,15k-25k,15,25
362,广州,高级数据分析师[天河区],今朝人力资源,20k-30k,20,30
363,广州,Physicochemical Analysis Manager/理化分析经理[新港],睿资达,20k-25k,20,25
364,广州,中/高级需求分析师[黄埔区],泽贤人力资源服务,15k-25k,15,25
365,广州,数据分析师[新港],新仕佳人力资源,18k-30k,18,30
366,广州,数据分析师(商业)[新港],众汇海成,12k-20k,12,20
367,广州,数据分析师[新港],亿聘世纪,15k-25k,15,25
368,广州,商业数据分析师(电商)[珠江新城],众汇海成,15k-20k,15,20
369,广州,需求分析师[东湖],泽贤人力资源服务,15k-30k,15,30
370,广州,数据分析总监[花地湾],今朝人力资源,50k-80k,50,80
371,广州,需求分析师[珠江新城],广州讯鸿网络技术有限公司,12k-20k,12,20
372,广州,商业数据分析师(电商)[珠江新城],众汇海成,15k-20k,15,20
373,广州,LC-MS Manager/质谱分析经理[新港],睿资达,25k-30k,25,30
374,广州,IT运维经理-京东天猫电商需求分析[珠江新城],赛睿,15k-30k,15,30
375,广州,信贷风控-高级风控策略分析师-深圳[新港],睿璞人才服务,35k-70k,35,70
376,广州,风控策略分析师[新港],睿资达,30k-55k,30,55
377,广州,Biochemical Analysis ScientistⅡ/生化分析研究员）[新港],睿资达,40k-45k,40,45
378,广州,信贷风控-高级风控策略分析师-深圳[新港],睿璞人才服务,35k-70k,35,70
379,广州,风控策略分析师[新港],睿资达,30k-55k,30,55
380,广州,Biochemical Analysis ScientistⅡ/生化分析研究员）[新港],睿资达,40k-45k,40,45
