,原文,type,英文,中文,原因,,,
70,not get this,中评,not get this ,没有得到这个,物流,,,
0,"DONT BUT THIS OR YOUR RISKING IN BURNING YOUR HARDWARE. low quality, melted in my unit die to shitty adapters ALIEXPRESS AND SELLER DONT GIVE A F**K ABOUT YOU dont ruin you stuff for free!",差评,"DONT BUT THIS OR YOUR RISKING IN BURNING YOUR HARDWARE. low quality, melted in my unit die to shitty adapters ALIEXPRESS AND SELLER DONT GIVE A F**K ABOUT YOU dont ruin you stuff for free! ",但不要担心，否则您会冒着烧毁硬件的风险。低质量，在我的设备中融化成糟糕的适配器,质量差,,,
1,Durou nem 2 horas ligado e já queimou.porcaria,差评,It lasted neither 2 hours connected and already burned.Porria ,它持续了 2 小时连接和已经燃烧。 Porria,质量差,,,
2,I didn't receive the product at all.,差评,I didn't receive the product at all. ,我根本没有收到产品。,物流,,,
3,jamais re?u,差评,never received ,从未收到,物流,,,
4,no corresponde,差评,Does not appropriate ,不合适,不合适,,,
5,no me gusto,差评,I did not like ,我以前不喜欢,不喜欢,,,
6,"Замовлення не отримав, грош? повернули.",差评,"The order has not received, the money turned. ",订单还没收到，钱就转了。,物流,,,
7,Не получил((,差评,Not received(( ,没收到（（,物流,,,
8,"товар не соответствует описанию, переходники плохо держатся, не советую",差评,"The goods do not correspond to the description, adapters are bad, I do not advise ",商品与描述不符，适配器坏了，不建议,质量差,,,
9,"ATTENTION! Fake product. It doesn't work. And you must proof that with the video... If the seller will be satisfied, you can return your money. Don't. buy from this seller!",差评,"ATTENTION! Fake product. It doesn't work. And you must proof that with the video... If the seller will be satisfied, you can return your money. Don't. buy from this seller! ",注意力！假冒产品。它不起作用。你必须用视频证明......如果卖家满意，你可以退还你的钱。别。从这个卖家买！,质量差,,,
10,Charger is not working at all. not able to charge my Dell laptop.,差评,Charger is not working at all. not able to charge my Dell laptop. ,充电器根本不工作。无法为我的戴尔笔记本电脑充电。,描述不符,,,
11,el envio bien aunque no puedes confiar en que sea universal pues a mi no me valio ninguna clavija,差评,the shipping well although you can not trust that it is universal because it was not worth any plug ,运输很好，虽然你不能相信它是通用的，因为它不值得任何插头,描述不符,,,
12,Le produit n'est pas compatible avec pc lenovo. Tres dessus.....,差评,The product is not compatible with PC Lenovo. Very on ..... ,该产品与 PC Lenovo 不兼容。很上.....,描述不符,,,
13,manque le c?ble secteur EU,差评,Lacks the EU mains cable ,缺少欧盟电源线,少电源线,,,
14,nul,差评,no ,不,不明确,,,
15,ok,差评,ok ,行,不明确,,,
16,"The Charger-Adapter works, but it gets very hot. I am worried about the long life of the adapter. The included adapter does not work with Dell (does not charge). With another adapter, the charger itself works.",差评,"The Charger-Adapter works, but it gets very hot. I am worried about the long life of the adapter. The included adapter does not work with Dell (does not charge). With another adapter, the charger itself works. ",充电器适配器可以工作，但会变得很热。我担心适配器的使用寿命。随附的适配器不适用于戴尔（不收费）。使用另一个适配器，充电器本身可以工作。,质量差,,,
17,"This adapter is NOT 90W. It may say that on the label, but it will overheat and break in a few minutes if you actually charge at 90W. This adapter made an explosion sound, and blew out my fuse! It was VERY HOT, which I guess caused a component to break and cause a short circuit. DO NOT BUY. This thing is a fire hazard. Seller also stated he would issue a refund, but then in the dispute said he needed evidence. What evidence can I give? It still looks the same, but it is broken, and I don't want to plug it in again and risk damaging my device!",差评,"This adapter is NOT 90W. It may say that on the label, but it will overheat and break in a few minutes if you actually charge at 90W. This adapter made an explosion sound, and blew out my fuse! It was VERY HOT, which I guess caused a component to break and cause a short circuit. DO NOT BUY. This thing is a fire hazard. Seller also stated he would issue a refund, but then in the dispute said he needed evidence. What evidence can I give? It still looks the same, but it is broken, and I don't want to plug it in again and risk damaging my device! ",这个适配器不是 90W。标签上可能会说，但如果您实际以 90W 充电，它会在几分钟内过热并损坏。这个适配器发出爆炸声，把我的保险丝烧断了！天气非常热，我猜这会导致组件损坏并导致短路。不要买。这东西有火灾隐患。卖家还表示他会退款，但随后在争议中表示他需要证据。我可以提供什么证据？它看起来仍然一样，但它坏了，我不想再次插入它并冒着损坏我的设备的风险！,质量差,,,
18,"Aucun embout ne fonctionne pour mon HP portable. Après un essai sur un autre PC portable, le bo?tier fait un claquement en continu. Cette avis ne tient cas mon cas, pas du tout satisfait de cette achat.",差评,"No tip works for my portable HP. After a test on another laptop, the housing makes a continuous snap. This notice does not have a case, not at all satisfied with this purchase. ",没有提示适用于我的便携式 HP。在另一台笔记本电脑上进行测试后，外壳持续发出咔嗒声。这个通知没有案例，对这次购买完全不满意。,描述不符,,,
19,commande non livrée j'attends un retour du vendeur,差评,orders not delivered I wait for a return of the seller ,订单未送达 我等待卖家退货,物流,,,
20,Falta instrucciones para su uso,差评,Missing instructions for use ,缺少使用说明,不明确,,,
21,j'ai bien re? deu l'article mais je n'ai pas le c?ble d'alimentation pour le secteur est ce que vous l'avez . Décu re?u deux articles et je ne suis pas dépanné dans l'attente d'une réponse favorable veuillez agréer Monsieur l'expression de mes sentiments distingués.,差评,"I have received the article, but I do not have the power cable for the area is what you have it. Decou received two items and I am not troubled waiting for a favorable response, please accept the expression of my distinguished feelings. ",我已收到文章，但我没有该地区的电源线是您拥有的。 Decou 收到了两件物品，我不为等待一个好评而烦恼，请接受我的尊贵感受。,少电源线,,,
22,Le chargeur n a fonctionner qu'une fois . ?a fait cher le chargeur j'aurais d? rajouter 10e et le prendre en france pour avoir la garantie.,差评,The charger is only working once. It's expensive the charger I should have added 10th and take it in France to get the guarantee. ,充电器只工作一次。充电器很贵，我应该添加第 10 个并在法国拿到保修。,质量差,,,
23,never came,差评,never came ,从未来过,物流,,,
24,Pas spécifié qui y a pas le cordon,差评,Not specified that is not the cord ,未指明不是电源线,少电源线,,,
25,"The delivery was very speedy which was amazing. However: The different adapter ends which go into your laptop are NOT the same as the ones on the picture themselves. I specifically was hoping that I would get the blue one which wasn't included, alongside some changes to others. Very disappointed.",差评,"The delivery was very speedy which was amazing. However: The different adapter ends which go into your laptop are NOT the same as the ones on the picture themselves. I specifically was hoping that I would get the blue one which wasn't included, alongside some changes to others. Very disappointed. ",交付速度非常快，这真是太棒了。但是：插入笔记本电脑的不同适配器端与图片上的不同。我特别希望我能得到不包括在内的蓝色，以及对其他人的一些改变。非常失望。,描述不符,,,
26,?? ???? ?? ???? dell insprion 14 ????? ?? ??? ???? ???? ????? ?????? ????? ???. ?? ????? ?????. ?????? ????. ???? ????? ????? ???.,差评,Does not work with Dell Insprion 14 seller not made refund even though he promised to do so. Not contaminated to buy. Stay away from him. It is better to buy from another place. ,不适用于 Dell Insprion 14 卖家，即使他承诺会退款，也未退款。不污染就买。离他远点。最好从其他地方购买。,描述不符,,,
27,dommage le fil qui va à la prise n est pas livré avec dessus,差评,Too bad the thread that goes to the socket is not delivered with above ,太糟糕了，上面没有提供进入套接字的线程,少电源线,,,
28,este artículo no es que ha perdido no tiene cable para enchufarlo,差评,This article is not that it has lost it has no cable to plug it up ,这篇文章不是丢了没线插,少电源线,,,
29,Hello - I did not receive this order - What should I do?,差评,Hello - I did not receive this order - What should I do? ,你好 - 我没有收到这个订单 - 我该怎么办？,物流,,,
30,No le sirve a mi portátil hp ninguna de las clavijas,差评,It does not serve my HP laptop any of the pegs ,它不为我的 HP 笔记本电脑提供任何挂钩,描述不符,,,
31,No trae el cableado para poder usarlo,差评,Does not bring the wiring to be able to use it ,不带接线就可以使用,少电源线,,,
32,The description of the product not inform about the power 220cord is not in the package. This is absolutely unacceptable. You can't use it.,差评,The description of the product not inform about the power 220cord is not in the package. This is absolutely unacceptable. You can't use it. ,产品描述不告知电源 220cord 不在包装内。这是绝对不能接受的。你不能使用它。,少电源线,,,
33,"this product is a danger for your home. hopefully my electric installation is resilient. it just blow the fuse as it causes a short circuit. if you have any doubt, the power cable is used elsewhere without issues at all a detail to picture it : do you remember the smell of a melt plastic ? if so, you know exactly what I just witness.",差评,"this product is a danger for your home. hopefully my electric installation is resilient. it just blow the fuse as it causes a short circuit. if you have any doubt, the power cable is used elsewhere without issues at all a detail to picture it : do you remember the smell of a melt plastic ? if so, you know exactly what I just witness. ",该产品对您的家庭构成危险。希望我的电气装置是有弹性的。它只是熔断保险丝，因为它会导致短路。如果您有任何疑问，电源线在其他地方使用完全没有问题 详细描述它：您还记得熔化塑料的气味吗？如果是这样，你确切地知道我刚刚见证了什么。,质量差,,,
34,"В комплекте нет коннектора для Asus M570 M570D M570DD,K570 K570Z K570ZD,Q547 Q547F Q547FD,ZenBook 15 UX534FT UX534FTC, нужен сonnector size:4.5*3.0mm Все коннекторы имеют свои названия, неужели трудно в описании перечислить то что есть в этом комплекте? Я сильно разочарован, продавец на вопрос не отвечает.",差评,"Includes no connector for ASUS M570 M570D M570DD, K570 K570D K570ZD, Q547 Q547F Q547FD, Zenbook 15 UX534FT UX534FTC, you need Sonnector Size: 4.5 * 3.0mm All connectors have their own names, is it really difficult to list what is in this set? I am very disappointed, the seller does not answer the question. ",不包括华硕 M570 M570D M570DD、K570 K570D K570ZD、Q547 Q547F Q547FD、Zenbook 15 UX534FT UX534FTC 的连接器，你需要 Sonnector 尺寸：4.5 * 3.0mm 所有连接器都有自己的难点列表，这是什么？我很失望，卖家没有回答问题。,描述不符,,,
35,отсутствует кабель на 220 вольт,差评,There is no 220 volt cable ,没有 220 伏电缆,少电源线,,,
36,Aucun sérieux du vendeur! Objet recu défectueux et aucune réponse du vendeur et renvoi à mes frais d’apres aliexpress donc j’ai abandonner vu le montant du renvoi colis postal!!! Le double du prix d’achat ....je ne conseil pas!!!,差评,No seriousness of the seller! Object received defective and no reply from the seller and reference to my expenses after Aliexpress so I have abandoned the amount of the return Postal parcel !!! Double the purchase price .... I do not advice !!! ,卖家不认真！收到的物品有缺陷，卖家没有回复，也没有参考我在速卖通之后的费用，所以我放弃了退回邮政包裹的金额！！！购买价格翻倍....我不建议！！！,质量差,,,
37,Does not work on my dell computer,差评,Does not work on my dell computer ,不适用于我的戴尔计算机,描述不符,,,
38,Dommage il n'y pas de c?ble secteur qui va avec,差评,Pity there is no power cable that goes with ,可惜没有配套的电源线,少电源线,,,
39,item is non-functional.,差评,item is non-functional. ,项目是非功能性的。,描述不符,,,
40,"never got the parcel, seller refunded me",差评,"never got the parcel, seller refunded me ",没有收到包裹，卖家给我退款了,物流,,,
41,Péssimo n?o recebi o produto nem o reembolso,差评,Bad I did not receive the product nor the refund ,不好我没有收到产品也没有退款,物流,,,
42,the charger have burn after 30 min,差评,the charger have burn after 30 min ,充电器在 30 分钟后燃烧,质量差,,,
43,заказ до сих пор не получила верните деньги,差评,the order has not yet received return the money ,订单还没有收到退货退款,物流,,,
44,?? ????? ?hp,差评,Not suitable for HP ,不适合惠普,描述不符,,,
45,4.5mm hp nicht vorhanden,差评,4.5mm HP not available ,4.5 毫米 HP 不可用,描述不符,,,
46,doesn't work with my N71Jv :/ but ok with my lattitude,差评,doesn't work with my N71Jv :/ but ok with my latitude ,不适用于我的 N71Jv :/ 但我的纬度没问题,描述不符,,,
47,El producto no es compatible con portatil HP,差评,The product is not compatible with HP portable ,该产品与 HP 便携式计算机不兼容,描述不符,,,
48,J'aimerais bien donner mon avis si je l'avais re?u. Il y a de cela plus 100 jours.,差评,I would like to give my opinion if I had received it. There is more 100 days. ,如果我收到了，我想发表一下我的意见。还有100天。,物流,,,
49,Le falta el cable de alimentación de la corriente,差评,The power cord is missing from the power ,电源线丢失,少电源线,,,
50,Not compatible with HP omen. Bad election,差评,Not compatible with HP omen. Bad election ,与 HP omen 不兼容。糟糕的选举,描述不符,,,
51,"Не дошла посылка,жду возврата денег?",差评,"Did not reach the parcel, waiting for the return of money ",包裹没到，等退款,物流,,,
52,"Нет сетевого кабеля, нужно докупать отдельно.",差评,"No network cable, you need to buy separately. ",没有网线，需要单独购买。,少电源线,,,
53,?? ????? ????? HP . ?? ??? ??? ?? ?????,差评,Not suitable for HP PC. None of them cells ,不适用于 HP PC。没有一个细胞,描述不符,,,
54,Cable is little lose on connection and no other part of the cable which goes to power.,差评,Cable is little lose on connection and no other part of the cable which goes to power. ,电缆在连接时几乎没有丢失，并且电缆的其他部分没有通电。,少电源线,,,
55,Do not charge my laptop,差评,Do not charge my laptop ,不要给我的笔记本电脑充电,质量差,,,
56,El producto salio defectuoso y no sirve y porfavor quiero que mereenbolcen el dinero gracias,差评,The product came out defective and it does not serve and please I want you to mereen the money thanks ,该产品有缺陷，无法使用，请给我钱，谢谢,质量差,,,
57,Faut être sure de l’achat parce que moi ?a ne marche pas j’ai envoyé un message pour un échange ou un remboursement et ils ne répondent jamais faites très attention mauvais vendeur,差评,Must be sure of buying because I do not work I sent a message for an exchange or a refund and they never answer very care badly bad seller ,一定要买，因为我不工作 我发了一条消息要换货或退款 他们从不回答 非常小心 非常糟糕的卖家,质量差,,,
58,I've been waiting since June....,差评,I've been waiting since June.... ,我从六月就一直在等待......,物流,,,
59,Nicht gut,差评,not good ,不好,不明确,,,
60,The item broke the first minute i used it.,差评,The item broke the first minute i used it. ,该项目在我使用它的第一分钟就坏了。,质量差,,,
61,"Покупал для монитора. Монитор с ним мигает, работать невозможно. Для чего-то другого он может и сгодится",差评,"Bought for the monitor. The monitor flashes with it, it is impossible to work. For something else, he can fit ",为显示器买的。显示器随之闪烁，无法工作。对于别的东西，他可以适应,质量差,,,
62,"Посылка не пришла, к сожалению",差评,"The parcel did not come, unfortunately ",包裹没来，可惜,物流,,,
63,"Думал нормальный блок питания, всё с виду красиво, об отсутствии штекера 220v уже был предупреждён заранее. Посылка отслеживалась до порога, вопросов нет. Вскрыв его я был в шоке, это какой-то испанский стыд. Ему цена 500? вместе с переходниками. Распайка только с 1 стороны платы, smd на другой стороне вообще нет, дроссели и другие компоненты отсутствуют для удешевления и облегчения производства. До этого брал с AliExpress другой универсальный блок питания бренда ""noname"", фотка ниже, у него были примерно такие же компоненты на плате, за исключением переключателя напряжения, при работе был запах пластика и в итоге за 1.5 часа сгорел. В этом я вообще не уверен. Припаял другое гнездо на вилку 220v, наделал дырок, под радиатор термопасту нанёс, в итоге греется как чёрт, весь! Блоку питания ничем не помочь, вообще. Греется даже трансформатор! Прошу вас, остерегайтесь этой модели ZH-65-258. Там есть только 1 предохранитель, если он не сработает, то блок или убьёт ваш ноутбук или сгорит.",差评,"I thought a normal power supply, everything looks beautiful, about the absence of a plug of 220V was already warned in advance. The parcel was tracked to the threshold, there are no questions. I was in shock with a shock, this is some kind of Spanish shame. It is the price of 500? along with adapters. Spacking only with 1 side of the board, SMD on the other side is generally no, chokes and other components are absent for cheaper and facilitate production. Prior to that, he took with the Aliexpress other universal power supply of the ""Noname"" brand, the photo below, he had about the same components on the board, with the exception of the voltage switch, the smell of plastic was the smell of plastic and in the end of 1.5 hours burned down. I'm not sure about this. Speed ??another nest on the plug 220V, endowed holes, under the radiator the thermal fever, in the end heels like a damn, all! The power supply does not help anything, in general. Even a transformer is heated! I ask you, beware of this model ZH-65-258. There is only 1 fuse if it does not work, the block or kills your laptop or burns. ",本以为是普通电源，一切看起来都很漂亮，关于没有220V的插头已经提前警告过。包裹被追踪到了门槛，没有问题。我被震惊了，这是西班牙的某种耻辱。是500的价格吗？连同适配器。只用板的一面进行包装，另一面一般没有SMD，没有扼流圈和其他组件，以降低成本并便于生产。在此之前，他用速卖通另一款“Noname”品牌的万能电源拍了下，下图，他的板子上的元件差不多，除了电压开关，塑料味是塑料并在 1.5 小时内被烧毁。我不确定这一点。速度另窝上插头220V，赋孔，散热器下发热，到底高跟鞋跟屁屁似的，全！一般来说，电源没有任何帮助。连变压器都被加热了！请问大家，小心这个型号的ZH-65-258。如果它不起作用，则只有 1 个保险丝，它会阻止或杀死您的笔记本电脑或烧毁。,质量差,,,
64,"article non utilisable, car je me rends compte qu'il est vendu sans la partie c?ble qui se branche à une prise électrique. Je le renvoie au vendeur.",差评,Article not usable because I realize that it is sold without the cable part that plugs into an electrical outlet. I send it back to the seller. ,物品无法使用，因为我意识到它是在没有插入电源插座的电缆部分的情况下出售的。我把它寄回给卖家。,物流,,,
65,No vale para HP. mal,差评,It is not worth HP. evil ,这不值得惠普。邪恶的,描述不符,,,
66,très bon produit,差评,very good product ,非常好的产品,不明确,,,
67,It got burned in the first 10 minutes of operation,差评,It got burned in the first 10 minutes of operation ,它在运行的前 10 分钟内被烧毁,质量差,,,
68,Adapter not working.. I want to return back,差评,Adapter not working.. I want to return back ,适配器不工作.. 我想回来,质量差,,,
69,"El paquete nunca lo mandaron, el vendedor jamas contestó a mis dudas y preguntas, lo desaconsejo total mente. Lo bueno que aliexpres me reembolso todo el importe.",差评,"The package never sent him, the seller never answered my doubts and questions, I discourage him totally mind. The good thing that Aliexpres will refund me all the amount. ",包裹从来没有寄给他，卖家从来没有回答我的疑问和问题，我完全不介意他。好消息是 Aliexpres 会退还我所有的金额。,卖家不回复,,,
70,not get this,差评,not get this ,没有得到这个,物流,,,
